PDBCode,protID,lig_name,_merge
10gs,P09211,VWW,left_only
5j41,P09211,2-mer,left_only
1a1e,P12931,4-mer,left_only
1a28,P06401,STR,left_only
1sr7,P06401,MOF,left_only
2w8y,P06401,486,left_only
1a30,P04585,3-mer,left_only
1bv7,P04585,XV6,left_only
1bv9,P04585,XV6,left_only
1bwa,P04585,XV6,left_only
1bwb,P04585,146,left_only
1hvh,P04585,Q82,left_only
1hwr,P04585,216,left_only
3t1a,P04585,5MA,left_only
4q1w,P04585,017,left_only
4q1x,P04585,017,left_only
4q1y,P04585,017,left_only
1a4r,P60953,GNH,left_only
1a69,P0ABP8,FMB,left_only
1k9s,P0ABP8,FM2,left_only
1a94,P03367,0Q4,left_only
1d4y,P03367,TPV,left_only
1iiq,P03367,0ZR,left_only
1izi,P03367,Q50,left_only
1lzq,P03367,0ZQ,left_only
1m0b,P03367,0ZQ,left_only
1mrw,P03367,K57,left_only
1mrx,P03367,K57,left_only
1msm,P03367,JE2,left_only
1msn,P03367,JE2,left_only
1nh0,P03367,5-mer,left_only
1sdt,P03367,MK1,left_only
1sdu,P03367,MK1,left_only
1sdv,P03367,MK1,left_only
1sgu,P03367,MK1,left_only
1sh9,P03367,RIT,left_only
2pqz,P03367,G0G,left_only
2pwc,P03367,G3G,left_only
2pwr,P03367,G4G,left_only
2pym,P03367,1UN,left_only
2pyn,P03367,1UN,left_only
2q63,P03367,1UN,left_only
2q64,P03367,1UN,left_only
2qci,P03367,065,left_only
2qd6,P03367,065,left_only
2qd7,P03367,065,left_only
2qd8,P03367,065,left_only
2qnn,P03367,QN1,left_only
2qnp,P03367,QN2,left_only
2qnq,P03367,QN3,left_only
2r43,P03367,G3G,left_only
2z4o,P03367,065,left_only
3a2o,P03367,KNJ,left_only
3bva,P03367,2NC,left_only
3bvb,P03367,017,left_only
3djk,P03367,G55,left_only
3dk1,P03367,G05,left_only
3ggu,P03367,017,left_only
3h5b,P03367,031,left_only
3i6o,P03367,GR6,left_only
3kdb,P03367,006,left_only
3kdc,P03367,JZP,left_only
3kdd,P03367,JZQ,left_only
3pwm,P03367,017,left_only
3st5,P03367,G89,left_only
3t3c,P03367,017,left_only
3ttp,P03367,017,left_only
4hdf,P03367,G52,left_only
4heg,P03367,G52,left_only
4hla,P03367,017,left_only
1a99,P31133,PUT,left_only
1a9m,P03366,U0E,left_only
1d4h,P03366,BEH,left_only
1d4i,P03366,BEG,left_only
1d4j,P03366,MSC,left_only
1ebw,P03366,BEI,left_only
1eby,P03366,BEB,left_only
1ebz,P03366,BEC,left_only
1ec0,P03366,BED,left_only
1ec1,P03366,BEE,left_only
1ec2,P03366,BEJ,left_only
1ec3,P03366,MS3,left_only
1g35,P03366,AHF,left_only
1mes,P03366,DMP,left_only
1met,P03366,DMP,left_only
1w5v,P03366,BE3,left_only
1w5w,P03366,BE4,left_only
1w5x,P03366,BE5,left_only
1w5y,P03366,BE6,left_only
1zpa,P03366,A83,left_only
1zsf,P03366,0ZS,left_only
2aqu,P03366,DR7,left_only
2uxz,P03366,HI1,left_only
2uy0,P03366,HV1,left_only
3nu3,P03366,478,left_only
3nu4,P03366,478,left_only
3nu5,P03366,478,left_only
3nu6,P03366,478,left_only
3nu9,P03366,478,left_only
3nuj,P03366,478,left_only
3nuo,P03366,478,left_only
3ok9,P03366,G52,left_only
3qaa,P03366,G04,left_only
3zps,P03366,EQM,left_only
3zpu,P03366,M8B,left_only
4cp7,P03366,9MW,left_only
4cpr,P03366,378,left_only
4cps,P03366,1T8,left_only
4cpt,P03366,1T8,left_only
4cpw,P03366,V78,left_only
5jfu,P03366,6KQ,left_only
6prf,P03366,7OA,left_only
1a9q,P55859,HPA,left_only
1b8n,P55859,IMG,left_only
1b8o,P55859,IMH,left_only
1afk,P61823,PAP,left_only
1afl,P61823,ATR,left_only
1jn4,P61823,139,left_only
1jvu,P61823,C2P,left_only
1o0f,P61823,A3P,left_only
1o0h,P61823,ADP,left_only
1o0m,P61823,U2P,left_only
1o0n,P61823,U3P,left_only
1qhc,P61823,PUA,left_only
1u1b,P61823,PAX,left_only
1w4o,P61823,UA3,left_only
1w4p,P61823,UM3,left_only
1w4q,P61823,UMF,left_only
1z6s,P61823,AMP,left_only
2w5g,P61823,ATP,left_only
2xog,P61823,SFB,left_only
3d6o,P61823,U1S,left_only
3d6p,P61823,U2S,left_only
3d8z,P61823,TXS,left_only
4g8v,P61823,0EY,left_only
4g8y,P61823,0FT,left_only
4g90,P61823,0G0,left_only
4rsk,P61823,U3P,left_only
6pvw,P61823,OZV,left_only
6pvv,P61823,5FA,left_only
1amw,P02829,ADP,left_only
1bgq,P02829,RDC,left_only
2cgf,P02829,P2N,left_only
2fxs,P02829,RDA,left_only
2iwx,P02829,M1S,left_only
2vw5,P02829,BC6,left_only
2vwc,P02829,BC2,left_only
2weq,P02829,GDM,left_only
2wer,P02829,RDC,left_only
2yge,P02829,GDM,left_only
2ygf,P02829,GDM,left_only
1b05,P06202,3-mer,left_only
1b0h,P06202,3-mer,left_only
1b1h,P06202,3-mer,left_only
1b2h,P06202,3-mer,left_only
1b32,P06202,3-mer,left_only
1b3f,P06202,3-mer,left_only
1b3g,P06202,3-mer,left_only
1b3h,P06202,3-mer,left_only
1b3l,P06202,3-mer,left_only
1b40,P06202,3-mer,left_only
1b46,P06202,3-mer,left_only
1b4h,P06202,3-mer,left_only
1b4z,P06202,3-mer,left_only
1b51,P06202,3-mer,left_only
1b52,P06202,3-mer,left_only
1b58,P06202,3-mer,left_only
1b5h,P06202,3-mer,left_only
1b5i,P06202,3-mer,left_only
1b5j,P06202,3-mer,left_only
1b6h,P06202,3-mer,left_only
1b7h,P06202,3-mer,left_only
1b9j,P06202,3-mer,left_only
1qka,P06202,3-mer,left_only
1qkb,P06202,3-mer,left_only
1e1v,P24941,CMG,left_only
1e1x,P24941,NW1,left_only
1jsv,P24941,U55,left_only
1pxn,P24941,CK6,left_only
1pxo,P24941,CK7,left_only
1pxp,P24941,CK8,left_only
2exm,P24941,ZIP,left_only
2fvd,P24941,LIA,left_only
2xmy,P24941,CDK,left_only
2xnb,P24941,Y8L,left_only
5jq5,P24941,I74,left_only
6guh,P24941,FB8,left_only
6guk,P24941,FC8,left_only
6q4g,P24941,HJK,left_only
6q4e,P24941,HH5,left_only
6nfh,Q06187,KLM,left_only
1b6j,P03369,5-mer,left_only
1b6k,P03369,PI5,left_only
1b6l,P03369,PI4,left_only
1d4k,P03369,PI8,left_only
1d4l,P03369,PI9,left_only
1kzk,P03369,JE2,left_only
1z1h,P03369,HBB,left_only
2fgu,P03369,5-mer,left_only
2fgv,P03369,5-mer,left_only
2qhy,P03369,MZ1,left_only
2qhz,P03369,MZ2,left_only
2qi0,P03369,MZ3,left_only
2qi1,P03369,MZ4,left_only
2qi3,P03369,MZ5,left_only
2qi4,P03369,MZ6,left_only
2qi5,P03369,MZ7,left_only
2qi6,P03369,MZ8,left_only
2qi7,P03369,MZ9,left_only
3ekp,P03369,478,left_only
3ekt,P03369,017,left_only
3ekv,P03369,478,left_only
3ekw,P03369,DR7,left_only
3ekx,P03369,1UN,left_only
3el1,P03369,DR7,left_only
3el4,P03369,ROC,left_only
3el5,P03369,1UN,left_only
3el9,P03369,DR7,left_only
3gi4,P03369,K60,left_only
3gi5,P03369,K62,left_only
3gi6,P03369,D78,left_only
3i7e,P03369,DJR,left_only
3mxd,P03369,K53,left_only
3mxe,P03369,K54,left_only
3o9i,P03369,A61,left_only
1bdq,P04587,IM1,left_only
1g2k,P04587,NM1,left_only
2aoc,P04587,2NC,left_only
2aod,P04587,2NC,left_only
2aoe,P04587,0Q4,left_only
2aog,P04587,2NC,left_only
2avm,P04587,2NC,left_only
2avq,P04587,2NC,left_only
2avs,P04587,MK1,left_only
2bpv,P04587,1IN,left_only
2bpy,P04587,3IN,left_only
2f80,P04587,017,left_only
2f81,P04587,017,left_only
2f8g,P04587,017,left_only
2r38,P04587,G4G,left_only
2r3t,P04587,G4G,left_only
2r3w,P04587,G3G,left_only
3bgb,P04587,LJG,left_only
3bgc,P04587,LJH,left_only
3cyw,P04587,017,left_only
3cyx,P04587,ROC,left_only
3d1x,P04587,ROC,left_only
3d1y,P04587,ROC,left_only
3d1z,P04587,017,left_only
1bhf,P06239,5-mer,left_only
1bhx,P00734,R56,left_only
3bv9,P00734,6-mer,left_only
3da9,P00734,44U,left_only
1bm7,P02766,FLF,left_only
1e4h,P02766,PBR,left_only
2b9a,P02766,FBC,left_only
2f7i,P02766,26C,left_only
2g5u,P02766,PCQ,left_only
3cfn,P02766,2AN,left_only
3cft,P02766,5NS,left_only
3kgt,P02766,GEN,left_only
3kgu,P02766,GEN,left_only
3nee,P02766,B72,left_only
3neo,P02766,G24,left_only
3nes,P02766,B72,left_only
3nex,P02766,G24,left_only
3p3r,P02766,3M1,left_only
3p3s,P02766,3M2,left_only
3p3t,P02766,3M3,left_only
4d7b,P02766,TCW,left_only
4der,P02766,AGI,left_only
4des,P02766,57D,left_only
4det,P02766,KMP,left_only
4deu,P02766,NAR,left_only
4dew,P02766,LU2,left_only
5ayt,P02766,L6Y,left_only
5l4j,P02766,6JD,left_only
5u49,P02766,S2L,left_only
5u4b,P02766,XOS,left_only
5u4d,P02766,XLO,left_only
1bp0,P00469,UMP,left_only
1jmf,P00469,UMP,left_only
1jmg,P00469,UMP,left_only
1bq4,P00950,BHC,left_only
1br6,P02879,PT1,left_only
1bxo,P00798,PP7,left_only
1bxq,P00798,PP8,left_only
2web,P00798,PP4,left_only
2wec,P00798,PP5,left_only
2wed,P00798,PP6,left_only
1bzc,P18031,TPI,left_only
1bzj,P18031,PIC,left_only
1c83,P18031,OAI,left_only
1c84,P18031,761,left_only
1c86,P18031,OPA,left_only
1c87,P18031,OPA,left_only
1c88,P18031,OTA,left_only
1ecv,P18031,878,left_only
1g7f,P18031,INZ,left_only
1g7g,P18031,INX,left_only
1gfy,P18031,COL,left_only
1kav,P18031,FEP,left_only
1l8g,P18031,DBD,left_only
1nl9,P18031,989,left_only
1nny,P18031,515,left_only
1no6,P18031,794,left_only
1nwl,P18031,964,left_only
1nz7,P18031,901,left_only
1ony,P18031,588,left_only
1onz,P18031,968,left_only
1pyn,P18031,941,left_only
1qxk,P18031,429,left_only
1xbo,P18031,IX1,left_only
2azr,P18031,982,left_only
2b07,P18031,598,left_only
2f6t,P18031,1C2,left_only
2h4g,P18031,694,left_only
2h4k,P18031,509,left_only
2hb1,P18031,512,left_only
2nt7,P18031,902,left_only
2nta,P18031,521,left_only
2qbp,P18031,527,left_only
2qbq,P18031,4B3,left_only
2qbr,P18031,910,left_only
2qbs,P18031,024,left_only
2zmm,P18031,35B,left_only
2zn7,P18031,410,left_only
3eax,P18031,LZP,left_only
3eb1,P18031,LZQ,left_only
4i8n,P18031,1CG,left_only
5k9w,P18031,OTA,left_only
5ka1,P18031,OTA,left_only
5ka7,P18031,OTA,left_only
5ka9,P18031,OTA,left_only
5kab,P18031,OTA,left_only
5kad,P18031,OTA,left_only
5t19,P18031,73U,left_only
1c5x,P00749,ESI,left_only
1c5y,P00749,ESP,left_only
1ejn,P00749,AGB,left_only
1f5k,P00749,BAM,left_only
1f5l,P00749,AMR,left_only
1gi7,P00749,120,left_only
1gjc,P00749,130,left_only
1o5a,P00749,696,left_only
1o5c,P00749,CR9,left_only
1owe,P00749,675,left_only
1owh,P00749,239,left_only
1sqa,P00749,UI1,left_only
1sqo,P00749,UI2,left_only
1sqt,P00749,UI3,left_only
1w0z,P00749,SI1,left_only
1w11,P00749,SK1,left_only
1w13,P00749,SM1,left_only
2r2w,P00749,4PG,left_only
2vnt,P00749,QGG,left_only
3kgp,P00749,4AZ,left_only
3mhw,P00749,ABV,left_only
4h42,P00749,11E,left_only
5za7,P00749,HMX,left_only
5za8,P00749,27I,left_only
5za9,P00749,50I,left_only
5zae,P00749,EAU,left_only
5zaf,P00749,28I,left_only
5zag,P00749,94I,left_only
5zaj,P00749,32I,left_only
5zc5,P00749,09I,left_only
6nmb,P00749,AMH,left_only
1c70,O92103,L75,left_only
1cet,Q27743,CLQ,left_only
1d2e,P49410,GDP,left_only
1d7i,P62942,DSS,left_only
1d7j,P62942,BUQ,left_only
1j4r,P62942,001,left_only
1df8,P22629,BTN,left_only
1swg,P22629,BTN,left_only
1swr,P22629,BTN,left_only
2izl,P22629,IMI,left_only
3rdo,P22629,BTN,left_only
3rdq,P22629,DTB,left_only
3wzn,P22629,BTN,left_only
3x00,P22629,ZOF,left_only
4y59,P22629,T21,left_only
4y5d,P22629,MT6,left_only
5b5f,P22629,6F3,left_only
5b5g,P22629,6FX,left_only
5n99,P22629,5-mer,left_only
1duv,P04391,PSQ,left_only
1dzk,P81245,PRZ,left_only
1e2k,P0DTH5,TMC,left_only
1e2l,P0DTH5,TMC,left_only
1e3g,P10275,R18,left_only
1xow,P10275,R18,left_only
1z95,P10275,198,left_only
2ax9,P10275,BHM,left_only
3b5r,P10275,B5R,left_only
3b65,P10275,3B6,left_only
3b66,P10275,B66,left_only
3b67,P10275,B67,left_only
3b68,P10275,B68,left_only
5cj6,P10275,51Y,left_only
1e3v,P07445,DXC,left_only
1ogx,P07445,EQU,left_only
5g2g,P07445,EQU,left_only
1ocq,O85465,IFM-BGC,left_only
1w3k,O85465,BGC-OXZ,left_only
1w3l,O85465,3-mer,left_only
8a3h,O85465,IDC,left_only
1e66,P04058,HUX,left_only
1gpk,P04058,HUP,left_only
1gpn,P04058,HUB,left_only
1h22,P04058,E10,left_only
1h23,P04058,E12,left_only
3zv7,P04058,NHG,left_only
5bwc,P04058,HBP,left_only
5nap,P04058,DZ7,left_only
5nau,P04058,DZ0,left_only
6euc,P04058,RM0,left_only
1efy,P26446,BZC,left_only
6i8t,P26446,H7Z,left_only
6i8m,P26446,H7W,left_only
1egh,P0A731,PGA,left_only
1ik4,P0A731,PGH,left_only
1s89,P0A731,PGA,left_only
1ex8,P26281,A4P,left_only
4f7v,P26281,J1D,left_only
1ez9,P0AEX9,4-mer,left_only
1z6e,P00742,IK8,left_only
2bok,P00742,784,left_only
2j2u,P00742,GSQ,left_only
2p95,P00742,ME5,left_only
2ra0,P00742,JNJ,left_only
2uwl,P00742,895,left_only
2uwo,P00742,701,left_only
2vh6,P00742,GSV,left_only
2vwm,P00742,LZI,left_only
2wyg,P00742,461,left_only
2wyj,P00742,898,left_only
2y5f,P00742,XWG,left_only
2y5g,P00742,FJD,left_only
2y5h,P00742,Y5H,left_only
3ffg,P00742,FFG,left_only
3m36,P00742,M35,left_only
1f4e,P0A884,TPR,left_only
1f4f,P0A884,TP3,left_only
1f4g,P0A884,TP4,left_only
1f73,P44539,HMN,left_only
1f74,P44539,NAY,left_only
1fao,Q9UN19,4IP,left_only
1fch,P50542,5-mer,left_only
1fcx,P13631,184,left_only
1fcy,P13631,564,left_only
1fcz,P13631,156,left_only
1fd0,P13631,254,left_only
1fh7,P07986,2-mer,left_only
1fh8,P07986,2-mer,left_only
1fh9,P07986,2-mer,left_only
1fhd,P07986,2-mer,left_only
1j01,P07986,XIL,left_only
1fkn,P56817,7-mer,left_only
1m4h,P56817,7-mer,left_only
2fdp,P56817,FRP,left_only
2g94,P56817,ZPQ,left_only
2p4j,P56817,23I,left_only
2qmg,P56817,SC6,left_only
2vkm,P56817,BSD,left_only
3bra,P56817,AEF,left_only
3buf,P56817,AEG,left_only
3bug,P56817,AEH,left_only
3buh,P56817,AED,left_only
3ckp,P56817,012,left_only
3i25,P56817,MV7,left_only
3kmx,P56817,G00,left_only
3kmy,P56817,D8Y,left_only
3l59,P56817,BDJ,left_only
3lpi,P56817,Z74,left_only
3lpk,P56817,Z76,left_only
3rsx,P56817,RSV,left_only
3ru1,P56817,3RU,left_only
4dju,P56817,0KK,left_only
4djv,P56817,0KM,left_only
4djw,P56817,0KP,left_only
4djx,P56817,0KQ,left_only
4djy,P56817,0KR,left_only
4fs4,P56817,H24,left_only
4fsl,P56817,0VB,left_only
4gid,P56817,0GH,left_only
4h3f,P56817,10O,left_only
4h3g,P56817,10Q,left_only
4h3j,P56817,10W,left_only
4ha5,P56817,13W,left_only
5dqc,P56817,50000000,left_only
5htz,P56817,66J,left_only
5i3v,P56817,68M,left_only
5i3w,P56817,68L,left_only
5i3x,P56817,68J,left_only
5i3y,P56817,68K,left_only
5ie1,P56817,6BS,left_only
5v0n,P56817,8W4,left_only
6ej2,P56817,B7E,left_only
6ej3,P56817,B7T,left_only
6nv9,P56817,L3M,left_only
6nv7,P56817,L3J,left_only
6nw3,P56817,L4J,left_only
1fq5,P07267,0GM,left_only
1p1n,P19491,KAI,left_only
1p1o,P19491,QUS,left_only
1syh,P19491,CPW,left_only
1syi,P19491,CPW,left_only
1wvj,P19491,IBC,left_only
1xhy,P19491,KAI,left_only
2al5,P19491,FWD,left_only
2p2a,P19491,MP9,left_only
3bfu,P19491,R2P,left_only
3pd9,P19491,HA5,left_only
3tza,P19491,TZG,left_only
4g8m,P19491,G8M,left_only
4isu,P19491,IKM,left_only
5cbr,P19491,4ZK,left_only
5cbs,P19491,E42,left_only
5fhn,P19491,5XO,left_only
5fho,P19491,5XN,left_only
5nih,P19491,8VE,left_only
1fv0,P59071,9AR,left_only
1jq8,P59071,5-mer,left_only
1kpm,P59071,VIT,left_only
1q7a,P59071,OPB,left_only
1sv3,P59071,ANN,left_only
2arm,P59071,OIN,left_only
3h1x,P59071,IMN,left_only
4qem,P59071,HC4,left_only
4qer,P59071,STL,left_only
4qf7,P59071,C0R,left_only
4qf8,P59071,SPD,left_only
4qgd,P59071,PZZ,left_only
1fzq,Q9WUL7,GDP,left_only
1g2o,P9WP01,IMH,left_only
1n3i,P9WP01,DIH,left_only
1g74,P04117,OLA,left_only
2ans,P04117,2AN,left_only
2qm9,P04117,TDZ,left_only
3hk1,P04117,B64,left_only
1g7v,P0A715,PAI,left_only
1phw,P0A715,__N,left_only
1g85,P07435,3OL,left_only
1g98,Q9N1E2,PA5,left_only
1koj,Q9N1E2,PAN,left_only
1gvw,P11838,0EM,left_only
1gvx,P11838,6-mer,left_only
2v00,P11838,V15,left_only
3prs,P11838,RIT,left_only
3pww,P11838,ROC,left_only
3uri,P11838,8-mer,left_only
3wz6,P11838,IXZ,left_only
3wz7,P11838,IXY,left_only
3wz8,P11838,IXV,left_only
4y3j,P11838,HIC,left_only
4y3y,P11838,DCL,left_only
4y4j,P11838,LNR,left_only
5hct,P11838,61P,left_only
1gx8,P02754,RTL,left_only
2gj5,P02754,VD3,left_only
3nq3,P02754,DKA,left_only
3nq9,P02754,OCA,left_only
3ueu,P02754,DAO,left_only
3uev,P02754,MYR,left_only
3uew,P02754,PLM,left_only
3uex,P02754,STE,left_only
4gny,P02754,SDS,left_only
6ge7,P02754,EW8,left_only
6gf9,P02754,X90,left_only
6gfs,P02754,F15,left_only
6ghh,P02754,TDA,left_only
6qi7,P02754,PLM,left_only
1gyx,P31992,BEZ,left_only
1gyy,P31992,FHC,left_only
1h0a,O88339,I3P,left_only
1h46,Q7LHI2,RNP,left_only
1h6h,Q15080,PIB,left_only
1hi3,P10153,A2P,left_only
1hi4,P10153,A3P,left_only
1hi5,P10153,ADP,left_only
5e13,P10153,5J9,left_only
1hk4,P02768,T44,left_only
6ezq,P02768,C7K,left_only
1hp5,O85361,NGT,left_only
1jak,O85361,IFG,left_only
5fcz,O85361,TNX,left_only
6s5k,P55055,KWE,left_only
6s4t,P55055,KVB,left_only
6s4n,P55055,KUW,left_only
4rak,P55055,652,left_only
5jy3,P55055,6OX,left_only
1hxw,P12499,RIT,left_only
2wkz,P12499,5AH,left_only
2wl0,P12499,5AH,left_only
2xye,P12499,CXG,left_only
2xyf,P12499,G40,left_only
4ej8,P12499,1F1,left_only
4ejl,P12499,IOP,left_only
3b3x,P00808,A33,left_only
1i37,P15207,DHT,left_only
